,Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Use_Promotion,Discount_Rate,Room_Rate,Reservation_Status,Staying
25,60891446,F,31,Asian American,High-School,50K -- 100K,North,City Hotel,11/19/2016,11/20/2016,7/15/2016,1,1,0,HB,No,No,No Deposit,Online,Yes,Yes,10,143,3,86400000000000
26,27044174,M,65,caucasian,Grad,>100K,South,Resort,11/19/2016,11/20/2016,6/29/2016,2,1,1,HB,No,No,No Deposit,Direct,Yes,Yes,10,214,1,86400000000000
27,88238517,F,60,Asian American,College,>100K,South,City Hotel,11/19/2016,11/20/2016,4/14/2016,3,1,0,HB,No,No,No Deposit,Online,Yes,Yes,10,239,1,86400000000000
28,61900789,F,66,Latino,Mid-School,50K -- 100K,South,Airport Hotels,11/19/2016,11/20/2016,11/11/2016,5,2,0,HB,No,No,No Deposit,Online,Yes,Yes,40,230,2,86400000000000
29,64883577,M,59,caucasian,College,25K --50K,South,City Hotel,11/19/2016,11/20/2016,7/31/2016,3,1,0,BB,No,No,No Deposit,Online,Yes,No,0,190,1,86400000000000
30,55378041,F,21,African American,College,<25K,West,City Hotel,11/19/2016,11/21/2016,6/28/2016,3,1,1,HB,No,No,No Deposit,Online,No,Yes,25,196,2,172800000000000
31,53798465,M,68,caucasian,College,50K -- 100K,South,Airport Hotels,11/21/2016,11/22/2016,4/23/2016,4,2,0,BB,No,No,No Deposit,Online,No,Yes,5,209,3,86400000000000
32,60781799,M,29,caucasian,College,>100K,South,Resort,11/19/2016,11/21/2016,8/14/2016,1,1,0,FB,No,No,Refundable,Online,Yes,Yes,5,188,2,172800000000000
33,94752419,F,67,African American,College,>100K,West,City Hotel,11/19/2016,11/20/2016,8/31/2016,2,1,0,FB,No,No,No Deposit,Direct,Yes,Yes,10,205,1,86400000000000
34,60425470,M,43,African American,Mid-School,<25K,South,City Hotel,11/19/2016,11/20/2016,10/21/2016,2,1,0,FB,No,No,Refundable,Direct,Yes,Yes,5,150,1,86400000000000
35,96410589,F,27,Asian American,College,50K -- 100K,South,City Hotel,11/19/2016,11/22/2016,11/16/2016,2,2,0,HB,Yes,Yes,Refundable,Online,No,Yes,5,226,1,259200000000000
36,41224708,F,45,caucasian,High-School,<25K,South,Resort,11/19/2016,11/20/2016,4/30/2016,1,3,0,HB,No,No,No Deposit,Direct,Yes,Yes,10,191,1,86400000000000
37,74972878,M,38,caucasian,Grad,25K --50K,West,Resort,11/19/2016,11/20/2016,11/16/2016,1,3,0,BB,No,No,Non-Refundable,Online,Yes,Yes,20,248,1,86400000000000
38,50824748,F,18,Latino,Mid-School,<25K,East,City Hotel,11/20/2016,11/21/2016,5/3/2016,2,1,0,BB,No,No,Refundable,Online,Yes,Yes,5,154,1,86400000000000
39,94524482,F,26,caucasian,High-School,50K -- 100K,South,Resort,2/5/2017,2/6/2017,9/9/2016,2,2,1,BB,No,No,Refundable,Online,No,Yes,25,232,1,86400000000000
40,32635033,M,50,Asian American,College,>100K,West,City Hotel,3/12/2017,3/13/2017,10/24/2016,2,1,1,HB,No,No,No Deposit,Online,Yes,Yes,5,248,2,86400000000000
41,92183172,F,20,African American,College,50K -- 100K,North,Airport Hotels,11/19/2016,11/20/2016,10/16/2016,1,1,0,FB,No,No,No Deposit,Agent,Yes,Yes,10,107,1,86400000000000
42,28323092,M,42,Latino,College,<25K,South,City Hotel,11/19/2016,11/22/2016,10/29/2016,1,2,0,HB,Yes,No,Refundable,Online,Yes,Yes,25,186,1,259200000000000
43,86372652,F,39,Asian American,Mid-School,>100K,South,City Hotel,11/19/2016,11/21/2016,9/25/2016,2,1,0,FB,Yes,No,No Deposit,Direct,Yes,Yes,30,138,3,172800000000000
44,19585428,M,69,caucasian,Mid-School,<25K,West,Airport Hotels,11/19/2016,11/21/2016,4/23/2016,2,1,1,BB,No,No,No Deposit,Online,Yes,Yes,20,132,3,172800000000000
45,42025914,M,33,Asian American,Grad,50K -- 100K,North,Resort,11/19/2016,11/22/2016,7/11/2016,4,2,0,FB,Yes,No,Refundable,Direct,No,Yes,5,225,1,259200000000000
46,85872241,M,57,caucasian,High-School,>100K,South,Airport Hotels,11/19/2016,11/20/2016,6/28/2016,5,1,0,FB,No,No,Refundable,Direct,Yes,Yes,15,104,2,86400000000000
47,16826564,M,62,African American,College,>100K,South,City Hotel,11/20/2016,11/21/2016,5/8/2016,2,3,0,FB,No,No,Refundable,Agent,Yes,No,0,138,1,86400000000000
48,80812644,M,69,Latino,College,50K -- 100K,South,City Hotel,11/19/2016,11/20/2016,7/16/2016,3,1,0,BB,Yes,No,Non-Refundable,Online,Yes,Yes,10,238,1,86400000000000
49,64063500,M,51,caucasian,High-School,25K --50K,East,Airport Hotels,11/19/2016,11/20/2016,9/28/2016,4,1,0,BB,No,No,Non-Refundable,Online,Yes,Yes,5,110,1,86400000000000
50,39990516,M,54,Asian American,College,<25K,North,Airport Hotels,4/9/2017,4/10/2017,3/21/2017,1,1,0,BB,No,No,No Deposit,Online,No,Yes,10,140,1,86400000000000
51,71506176,M,59,Latino,College,50K -- 100K,West,City Hotel,4/22/2017,4/23/2017,2/20/2017,2,1,0,BB,No,No,No Deposit,Agent,Yes,Yes,15,169,1,86400000000000
52,70061836,F,57,African American,Grad,25K --50K,East,City Hotel,11/19/2016,11/22/2016,4/29/2016,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Yes,40,228,2,259200000000000
53,25308221,F,34,caucasian,College,25K --50K,South,Airport Hotels,11/19/2016,11/23/2016,4/28/2016,3,1,0,HB,Yes,No,Non-Refundable,Online,No,Yes,10,133,1,345600000000000
54,75655661,M,34,caucasian,College,50K -- 100K,South,Resort,11/19/2016,11/23/2016,5/30/2016,1,1,0,HB,Yes,No,No Deposit,Online,Yes,Yes,5,178,1,345600000000000
55,41754532,M,48,Latino,College,50K -- 100K,South,Airport Hotels,11/19/2016,11/21/2016,10/19/2016,2,1,0,BB,No,No,Refundable,Direct,No,Yes,5,115,1,172800000000000
56,87457897,M,28,Asian American,College,>100K,South,Airport Hotels,11/19/2016,11/21/2016,11/1/2016,2,2,2,FB,No,No,Refundable,Direct,Yes,Yes,10,248,1,172800000000000
57,33332229,M,35,African American,College,<25K,South,Resort,11/19/2016,11/22/2016,8/12/2016,1,2,0,FB,Yes,No,No Deposit,Online,No,Yes,10,215,3,259200000000000
58,43160739,F,35,Asian American,High-School,<25K,South,City Hotel,11/19/2016,11/20/2016,11/3/2016,3,3,0,FB,No,No,Refundable,Online,No,No,0,183,1,86400000000000
59,76748822,F,19,caucasian,Grad,50K -- 100K,South,City Hotel,11/19/2016,11/20/2016,9/26/2016,5,2,0,FB,No,No,Refundable,Online,Yes,Yes,15,227,3,86400000000000
60,35120015,M,47,African American,High-School,50K -- 100K,North,City Hotel,11/19/2016,11/21/2016,10/23/2016,4,3,1,HB,No,No,Non-Refundable,Online,Yes,No,0,153,1,172800000000000
61,40281701,F,52,Asian American,High-School,50K -- 100K,East,City Hotel,11/19/2016,11/21/2016,11/11/2016,3,2,0,FB,No,No,Refundable,Direct,No,Yes,20,145,2,172800000000000
62,27470890,F,62,Asian American,College,<25K,West,City Hotel,11/19/2016,11/20/2016,5/12/2016,2,2,0,BB,No,No,Non-Refundable,Direct,No,No,0,181,3,86400000000000
63,18603967,M,59,Asian American,High-School,<25K,South,Airport Hotels,11/19/2016,11/21/2016,9/24/2016,2,3,0,FB,No,No,No Deposit,Online,Yes,Yes,5,240,1,172800000000000
64,65425620,M,37,Asian American,Mid-School,>100K,North,Airport Hotels,11/19/2016,11/20/2016,4/14/2016,2,1,0,FB,No,No,No Deposit,Online,No,Yes,40,245,1,86400000000000
65,42460243,F,20,Asian American,High-School,<25K,South,Resort,11/19/2016,11/21/2016,5/12/2016,4,3,0,FB,No,No,No Deposit,Online,No,Yes,10,167,3,172800000000000
66,2260132,M,63,Asian American,Mid-School,<25K,South,Resort,11/26/2016,11/27/2016,7/2/2016,2,1,2,FB,No,No,No Deposit,Agent,No,Yes,5,220,1,86400000000000
67,20252884,F,55,African American,High-School,<25K,South,Resort,11/19/2016,11/20/2016,9/10/2016,3,1,0,HB,No,No,No Deposit,Online,Yes,Yes,30,220,1,86400000000000
68,15834405,F,32,caucasian,Grad,25K --50K,South,Airport Hotels,11/20/2016,11/21/2016,9/3/2016,4,1,0,BB,No,No,Refundable,Direct,Yes,Yes,15,211,1,86400000000000
69,90882609,M,24,African American,High-School,25K --50K,East,Resort,11/20/2016,11/21/2016,6/15/2016,3,2,0,FB,No,No,No Deposit,Online,Yes,Yes,15,191,2,86400000000000
70,76274266,F,58,Asian American,High-School,>100K,South,Resort,11/20/2016,11/21/2016,4/29/2016,2,1,0,HB,No,No,No Deposit,Online,Yes,No,0,134,2,86400000000000
71,13465422,F,52,Asian American,College,<25K,North,City Hotel,11/20/2016,11/21/2016,5/8/2016,1,2,0,FB,No,No,No Deposit,Online,Yes,Yes,25,175,1,86400000000000
72,4154680,M,67,caucasian,College,>100K,East,Resort,11/20/2016,11/21/2016,11/21/2016,2,1,0,HB,No,No,No Deposit,Agent,Yes,No,0,154,1,86400000000000
73,4039529,F,41,caucasian,College,<25K,West,City Hotel,11/20/2016,11/21/2016,10/14/2016,3,2,0,HB,No,No,No Deposit,Online,Yes,No,0,175,1,86400000000000
74,6464114,F,46,African American,College,25K --50K,East,Resort,11/20/2016,11/22/2016,4/19/2016,5,1,0,BB,No,No,No Deposit,Online,No,Yes,20,149,2,172800000000000
75,21522961,F,58,African American,Mid-School,<25K,South,Airport Hotels,11/20/2016,11/21/2016,6/20/2016,3,1,1,FB,No,No,No Deposit,Direct,No,Yes,5,103,1,86400000000000
76,25365627,M,39,caucasian,High-School,25K --50K,West,Resort,11/20/2016,11/21/2016,4/29/2016,4,1,1,FB,No,No,Non-Refundable,Agent,Yes,Yes,10,155,1,86400000000000
77,22773391,F,34,caucasian,High-School,25K --50K,North,Resort,11/20/2016,11/23/2016,8/23/2016,2,1,2,HB,No,No,No Deposit,Agent,No,Yes,30,137,1,259200000000000
78,14737797,F,59,caucasian,High-School,>100K,South,Airport Hotels,11/20/2016,11/22/2016,10/14/2016,3,3,0,BB,No,No,Refundable,Direct,Yes,Yes,5,160,1,172800000000000
79,39495485,M,54,Latino,High-School,50K -- 100K,South,Resort,11/20/2016,11/21/2016,9/4/2016,5,2,0,HB,Yes,No,No Deposit,Direct,Yes,Yes,15,147,1,86400000000000
80,69167054,M,68,African American,High-School,25K --50K,West,Airport Hotels,11/20/2016,11/23/2016,11/9/2016,2,3,1,BB,No,No,No Deposit,Direct,Yes,No,0,113,1,259200000000000
81,46999433,F,64,Latino,Grad,50K -- 100K,East,City Hotel,11/20/2016,11/21/2016,5/20/2016,4,1,0,HB,No,No,No Deposit,Agent,Yes,Yes,5,200,1,86400000000000
82,23730056,F,61,caucasian,College,<25K,South,Resort,11/20/2016,11/23/2016,9/13/2016,2,2,0,HB,No,No,No Deposit,Online,No,Yes,15,157,1,259200000000000
83,65593958,M,59,African American,College,>100K,South,Airport Hotels,11/20/2016,11/23/2016,5/20/2016,1,1,0,FB,No,No,Refundable,Online,No,Yes,40,120,1,259200000000000
84,1794817,F,30,Latino,High-School,<25K,South,City Hotel,11/20/2016,11/21/2016,9/29/2016,2,3,0,FB,No,No,No Deposit,Agent,Yes,No,0,185,1,86400000000000
85,568595,F,31,African American,College,<25K,North,Airport Hotels,11/20/2016,11/21/2016,7/12/2016,2,2,1,FB,No,No,Refundable,Online,Yes,Yes,25,183,1,86400000000000
86,25540175,F,34,Asian American,College,>100K,South,Resort,11/20/2016,11/21/2016,6/28/2016,2,2,1,FB,Yes,Yes,No Deposit,Direct,Yes,No,0,250,2,86400000000000
87,84281735,M,54,Latino,Mid-School,50K -- 100K,West,City Hotel,11/20/2016,11/21/2016,11/16/2016,3,2,0,BB,Yes,Yes,No Deposit,Online,Yes,No,0,183,1,86400000000000
88,43117940,M,30,caucasian,Mid-School,25K --50K,South,Airport Hotels,11/20/2016,11/22/2016,6/2/2016,3,2,0,FB,No,No,No Deposit,Direct,Yes,Yes,5,152,1,172800000000000
89,61747940,M,61,caucasian,Mid-School,50K -- 100K,West,Airport Hotels,11/20/2016,11/21/2016,10/20/2016,1,1,2,FB,Yes,No,Refundable,Online,No,Yes,20,250,1,86400000000000
90,83033730,M,55,caucasian,High-School,<25K,South,Airport Hotels,11/20/2016,11/21/2016,8/15/2016,2,1,0,HB,Yes,No,Non-Refundable,Online,No,Yes,5,110,1,86400000000000
91,50132508,M,32,Asian American,College,50K -- 100K,North,Airport Hotels,11/20/2016,11/21/2016,9/29/2016,3,1,0,FB,No,No,No Deposit,Direct,No,Yes,5,101,3,86400000000000
92,91149643,F,33,caucasian,College,50K -- 100K,North,Resort,11/20/2016,11/21/2016,7/18/2016,4,1,1,HB,No,No,No Deposit,Online,No,Yes,5,197,1,86400000000000
93,22294408,F,32,caucasian,High-School,>100K,North,Resort,11/20/2016,11/23/2016,11/16/2016,2,1,0,BB,Yes,No,No Deposit,Direct,Yes,Yes,10,143,1,259200000000000
94,83629935,M,43,caucasian,Mid-School,<25K,South,Airport Hotels,11/20/2016,11/21/2016,9/15/2016,2,2,0,HB,No,No,Non-Refundable,Online,Yes,Yes,20,241,1,86400000000000
95,90562901,F,58,caucasian,High-School,25K --50K,West,Resort,11/20/2016,11/23/2016,5/31/2016,3,1,1,FB,No,No,No Deposit,Agent,No,Yes,5,151,2,259200000000000
96,23362123,F,32,caucasian,Grad,25K --50K,South,City Hotel,11/20/2016,11/21/2016,10/29/2016,1,2,0,FB,Yes,No,Non-Refundable,Online,No,Yes,5,208,1,86400000000000
97,25574994,M,35,Asian American,Grad,25K --50K,South,City Hotel,11/20/2016,11/23/2016,11/8/2016,1,1,1,BB,No,No,Refundable,Online,Yes,No,0,186,3,259200000000000
98,96601070,M,25,Asian American,Grad,25K --50K,North,City Hotel,11/21/2016,11/23/2016,4/29/2016,1,1,1,BB,No,No,Non-Refundable,Online,Yes,Yes,10,218,3,172800000000000
99,9849013,F,18,Latino,High-School,>100K,West,Airport Hotels,11/20/2016,11/21/2016,5/28/2016,2,3,0,BB,No,No,Refundable,Online,Yes,Yes,10,168,1,86400000000000
100,61268622,M,55,caucasian,Mid-School,25K --50K,North,Airport Hotels,11/20/2016,11/21/2016,5/22/2016,5,3,0,FB,Yes,Yes,No Deposit,Direct,No,No,0,157,3,86400000000000
101,71369022,M,22,Asian American,College,25K --50K,South,Resort,11/20/2016,11/22/2016,9/18/2016,2,2,0,BB,No,No,Non-Refundable,Agent,Yes,No,0,240,1,172800000000000
102,56819796,M,47,African American,High-School,<25K,East,City Hotel,11/20/2016,11/21/2016,6/24/2016,2,1,1,BB,Yes,No,No Deposit,Online,Yes,Yes,10,134,2,86400000000000
103,44480838,M,49,Latino,College,>100K,North,Airport Hotels,11/20/2016,11/21/2016,10/11/2016,3,2,0,BB,No,No,No Deposit,Online,No,Yes,25,137,1,86400000000000
104,46997829,F,25,Asian American,College,<25K,South,Resort,11/20/2016,11/23/2016,11/9/2016,2,3,0,FB,No,No,No Deposit,Online,No,Yes,5,246,1,259200000000000
105,19493041,F,67,Latino,Mid-School,25K --50K,South,City Hotel,11/20/2016,11/23/2016,8/30/2016,2,3,0,FB,Yes,No,No Deposit,Direct,Yes,No,0,143,2,259200000000000
106,44705080,M,63,Asian American,College,>100K,North,Airport Hotels,11/20/2016,11/23/2016,6/18/2016,2,2,0,HB,No,No,Refundable,Direct,Yes,Yes,30,124,1,259200000000000
107,68317504,M,38,Asian American,Grad,50K -- 100K,South,Resort,11/20/2016,11/22/2016,5/6/2016,2,3,0,BB,Yes,No,Refundable,Online,No,Yes,5,228,2,172800000000000
108,99142742,F,67,African American,Mid-School,50K -- 100K,West,City Hotel,11/20/2016,11/22/2016,7/31/2016,5,1,1,FB,No,No,Refundable,Online,Yes,Yes,40,158,1,172800000000000
109,10932581,F,23,Latino,Grad,<25K,North,Airport Hotels,11/20/2016,11/21/2016,8/2/2016,2,1,1,HB,No,No,No Deposit,Online,Yes,Yes,20,170,1,86400000000000
110,34186149,F,69,Asian American,College,<25K,North,Resort,11/20/2016,11/22/2016,10/15/2016,2,3,1,HB,Yes,Yes,No Deposit,Online,Yes,Yes,10,201,1,172800000000000
111,14986967,F,33,Latino,College,25K --50K,East,City Hotel,11/20/2016,11/23/2016,5/1/2016,3,1,0,HB,No,No,No Deposit,Direct,No,Yes,20,194,2,259200000000000
112,75352672,M,58,Latino,College,<25K,South,Resort,11/20/2016,11/22/2016,10/17/2016,3,1,0,BB,Yes,Yes,No Deposit,Online,Yes,Yes,10,223,2,172800000000000
113,73587761,M,24,Latino,College,50K -- 100K,North,Airport Hotels,11/20/2016,11/21/2016,8/2/2016,3,3,0,FB,No,No,Refundable,Online,No,Yes,15,217,2,86400000000000
114,24225853,F,21,African American,Grad,50K -- 100K,East,Resort,11/20/2016,11/22/2016,6/7/2016,2,1,1,FB,Yes,No,Non-Refundable,Online,Yes,Yes,10,144,3,172800000000000
115,31053495,F,39,African American,High-School,50K -- 100K,South,Resort,11/20/2016,11/22/2016,5/11/2016,1,2,1,BB,Yes,Yes,No Deposit,Agent,Yes,Yes,10,138,3,172800000000000
116,7544562,F,67,African American,Mid-School,>100K,South,City Hotel,11/20/2016,11/21/2016,9/18/2016,2,1,0,HB,No,No,No Deposit,Direct,No,Yes,40,179,1,86400000000000
117,84009718,M,38,Asian American,Grad,25K --50K,East,Airport Hotels,11/20/2016,11/22/2016,5/28/2016,1,1,0,FB,No,No,Refundable,Direct,Yes,Yes,25,217,1,172800000000000
118,12848784,F,27,Latino,College,50K -- 100K,North,Resort,11/20/2016,11/21/2016,7/5/2016,2,2,0,BB,No,No,No Deposit,Direct,No,Yes,10,204,1,86400000000000
119,22206000,M,48,caucasian,College,<25K,South,Airport Hotels,11/20/2016,11/21/2016,10/13/2016,1,1,0,BB,No,No,Refundable,Online,Yes,Yes,40,179,1,86400000000000
120,71645476,M,61,Asian American,College,50K -- 100K,West,City Hotel,11/20/2016,11/24/2016,8/31/2016,2,2,0,FB,Yes,No,No Deposit,Direct,Yes,Yes,20,176,1,345600000000000
121,63933616,F,34,caucasian,High-School,25K --50K,South,Resort,2/15/2017,2/16/2017,9/25/2016,2,3,0,HB,No,No,Refundable,Agent,No,Yes,25,157,2,86400000000000
122,98523961,M,24,caucasian,College,25K --50K,South,Airport Hotels,11/20/2016,11/21/2016,7/1/2016,1,1,0,BB,Yes,No,No Deposit,Agent,Yes,No,0,146,1,86400000000000
123,48949293,M,19,Latino,High-School,25K --50K,North,Airport Hotels,2/15/2017,2/16/2017,11/8/2016,3,1,0,HB,No,No,No Deposit,Online,Yes,Yes,30,138,1,86400000000000
124,54039707,F,36,caucasian,College,25K --50K,East,Airport Hotels,11/20/2016,11/22/2016,9/7/2016,1,2,1,HB,No,No,Refundable,Direct,Yes,Yes,25,101,1,172800000000000
125,74268516,F,20,African American,College,50K -- 100K,East,Airport Hotels,11/20/2016,11/21/2016,4/13/2016,5,2,0,HB,No,No,Refundable,Online,Yes,Yes,10,164,1,86400000000000
126,61747586,M,30,Asian American,Grad,25K --50K,East,Airport Hotels,11/21/2016,11/22/2016,6/29/2016,2,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Yes,25,246,2,86400000000000
127,73468379,F,28,Latino,High-School,25K --50K,North,City Hotel,11/21/2016,11/23/2016,7/1/2016,2,2,0,BB,No,No,Non-Refundable,Agent,No,Yes,40,180,2,172800000000000
128,11357536,F,21,Asian American,Grad,25K --50K,North,Airport Hotels,11/21/2016,11/22/2016,7/4/2016,5,1,1,HB,No,No,No Deposit,Online,No,Yes,30,138,2,86400000000000
129,57315445,F,70,African American,High-School,50K -- 100K,South,Airport Hotels,11/21/2016,11/22/2016,11/6/2016,3,2,0,BB,Yes,No,Refundable,Direct,No,Yes,20,115,1,86400000000000
130,98107193,F,39,Asian American,Mid-School,<25K,East,Resort,11/21/2016,11/23/2016,8/18/2016,1,2,0,HB,No,No,No Deposit,Online,Yes,Yes,10,106,1,172800000000000
131,36317156,M,18,Asian American,Mid-School,>100K,East,City Hotel,11/21/2016,11/23/2016,11/11/2016,1,2,0,FB,No,No,No Deposit,Online,Yes,No,0,219,1,172800000000000
132,87140045,F,55,African American,College,50K -- 100K,North,Resort,11/21/2016,11/22/2016,8/7/2016,2,1,0,FB,No,No,Refundable,Direct,Yes,No,0,168,2,86400000000000
133,3858417,M,63,caucasian,College,25K --50K,South,Airport Hotels,11/21/2016,11/22/2016,4/30/2016,2,3,0,HB,No,No,No Deposit,Online,Yes,Yes,10,109,1,86400000000000
134,3484037,M,45,Latino,College,<25K,North,Resort,11/21/2016,11/23/2016,11/21/2016,1,2,1,FB,Yes,Yes,Non-Refundable,Direct,Yes,Yes,20,146,2,172800000000000
135,22152722,F,61,caucasian,College,<25K,South,City Hotel,11/21/2016,11/22/2016,10/3/2016,1,1,0,FB,No,No,No Deposit,Online,Yes,No,0,116,2,86400000000000
136,57476767,M,54,African American,Grad,50K -- 100K,West,Resort,11/21/2016,11/22/2016,6/25/2016,1,1,0,BB,No,No,Non-Refundable,Agent,No,Yes,40,186,3,86400000000000
137,76342541,M,37,Latino,High-School,<25K,West,City Hotel,11/21/2016,11/22/2016,8/1/2016,1,2,1,HB,No,No,No Deposit,Direct,Yes,No,0,237,1,86400000000000
138,45672997,M,52,Latino,High-School,50K -- 100K,South,Resort,11/21/2016,11/24/2016,4/30/2016,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Yes,25,105,1,259200000000000
139,56546990,M,26,caucasian,Grad,25K --50K,West,Airport Hotels,11/21/2016,11/22/2016,7/9/2016,2,2,2,HB,Yes,No,No Deposit,Direct,Yes,Yes,20,158,2,86400000000000
140,95346355,F,53,African American,High-School,50K -- 100K,East,Airport Hotels,11/21/2016,11/25/2016,10/29/2016,3,2,1,FB,No,No,No Deposit,Direct,No,Yes,5,207,1,345600000000000
141,33870599,F,36,caucasian,College,<25K,East,Resort,11/21/2016,11/23/2016,9/8/2016,2,1,0,HB,No,No,Non-Refundable,Direct,Yes,No,0,199,1,172800000000000
142,48651179,F,41,caucasian,College,25K --50K,South,Resort,11/21/2016,11/22/2016,10/6/2016,1,2,2,FB,No,No,Refundable,Agent,No,Yes,5,167,1,86400000000000
143,66744667,F,60,Latino,Grad,50K -- 100K,South,City Hotel,11/21/2016,11/22/2016,7/14/2016,2,2,1,BB,Yes,No,No Deposit,Online,Yes,Yes,5,195,1,86400000000000
